seed,t,scheme,b,estimator,value
1000,100,majority,1,C_frozen,0.0
1000,100,majority,2,C_frozen,0.0
1000,100,majority,4,C_frozen,0.0
1000,100,majority,8,C_frozen,0.0
1000,110,majority,1,C_frozen,0.0
1000,110,majority,2,C_frozen,0.0
1000,110,majority,4,C_frozen,0.0
1000,110,majority,8,C_frozen,0.0
1000,120,majority,1,C_frozen,0.0
1000,120,majority,2,C_frozen,0.0
1000,120,majority,4,C_frozen,0.0
1000,120,majority,8,C_frozen,0.0
1000,130,majority,1,C_frozen,0.0
1000,130,majority,2,C_frozen,0.0
1000,130,majority,4,C_frozen,0.0
1000,130,majority,8,C_frozen,0.0
1000,140,majority,1,C_frozen,0.0
1000,140,majority,2,C_frozen,0.0
1000,140,majority,4,C_frozen,0.0
1000,140,majority,8,C_frozen,0.0
1000,150,majority,1,C_frozen,0.0
1000,150,majority,2,C_frozen,0.0
1000,150,majority,4,C_frozen,0.0
1000,150,majority,8,C_frozen,0.0
1000,160,majority,1,C_frozen,0.0
1000,160,majority,2,C_frozen,0.0
1000,160,majority,4,C_frozen,0.0
1000,160,majority,8,C_frozen,0.0
1000,170,majority,1,C_frozen,0.0
1000,170,majority,2,C_frozen,0.0
1000,170,majority,4,C_frozen,0.0
1000,170,majority,8,C_frozen,0.0
1000,180,majority,1,C_frozen,0.0
1000,180,majority,2,C_frozen,0.0
1000,180,majority,4,C_frozen,0.0
1000,180,majority,8,C_frozen,0.0
1000,190,majority,1,C_frozen,0.0
1000,190,majority,2,C_frozen,0.0
1000,190,majority,4,C_frozen,0.0
1000,190,majority,8,C_frozen,0.0
1000,200,majority,1,C_frozen,0.0
1000,200,majority,2,C_frozen,0.0
1000,200,majority,4,C_frozen,0.0
1000,200,majority,8,C_frozen,0.0
1000,210,majority,1,C_frozen,0.0
1000,210,majority,2,C_frozen,0.0
1000,210,majority,4,C_frozen,0.0
1000,210,majority,8,C_frozen,0.0
1000,220,majority,1,C_frozen,0.0
1000,220,majority,2,C_frozen,0.0
1000,220,majority,4,C_frozen,0.0
1000,220,majority,8,C_frozen,0.0
1000,230,majority,1,C_frozen,0.0
1000,230,majority,2,C_frozen,0.0
1000,230,majority,4,C_frozen,0.0
1000,230,majority,8,C_frozen,0.0
1000,240,majority,1,C_frozen,0.0
1000,240,majority,2,C_frozen,0.0
1000,240,majority,4,C_frozen,0.0
1000,240,majority,8,C_frozen,0.0
1000,250,majority,1,C_frozen,0.0
1000,250,majority,2,C_frozen,0.0
1000,250,majority,4,C_frozen,0.0
1000,250,majority,8,C_frozen,0.0
1000,260,majority,1,C_frozen,0.0
1000,260,majority,2,C_frozen,0.0
1000,260,majority,4,C_frozen,0.0
1000,260,majority,8,C_frozen,0.0
1000,270,majority,1,C_frozen,0.0
1000,270,majority,2,C_frozen,0.0
1000,270,majority,4,C_frozen,0.0
1000,270,majority,8,C_frozen,0.0
1000,280,majority,1,C_frozen,0.0
1000,280,majority,2,C_frozen,0.0
1000,280,majority,4,C_frozen,0.0
1000,280,majority,8,C_frozen,0.0
1000,290,majority,1,C_frozen,0.0
1000,290,majority,2,C_frozen,0.0
1000,290,majority,4,C_frozen,0.0
1000,290,majority,8,C_frozen,0.0
1000,300,majority,1,C_frozen,0.0
1000,300,majority,2,C_frozen,0.0
1000,300,majority,4,C_frozen,0.0
1000,300,majority,8,C_frozen,0.0
1000,310,majority,1,C_frozen,0.0
1000,310,majority,2,C_frozen,0.0
1000,310,majority,4,C_frozen,0.0
1000,310,majority,8,C_frozen,0.0
1000,320,majority,1,C_frozen,0.0
1000,320,majority,2,C_frozen,0.0
1000,320,majority,4,C_frozen,0.0
1000,320,majority,8,C_frozen,0.0
1000,330,majority,1,C_frozen,0.0
1000,330,majority,2,C_frozen,0.0
1000,330,majority,4,C_frozen,0.0
1000,330,majority,8,C_frozen,0.0
1000,340,majority,1,C_frozen,0.0
1000,340,majority,2,C_frozen,0.0
1000,340,majority,4,C_frozen,0.0
1000,340,majority,8,C_frozen,0.0
1000,350,majority,1,C_frozen,0.0
1000,350,majority,2,C_frozen,0.0
1000,350,majority,4,C_frozen,0.0
1000,350,majority,8,C_frozen,0.0
1000,360,majority,1,C_frozen,0.0
1000,360,majority,2,C_frozen,0.0
1000,360,majority,4,C_frozen,0.0
1000,360,majority,8,C_frozen,0.0
1000,370,majority,1,C_frozen,0.0
1000,370,majority,2,C_frozen,0.0
1000,370,majority,4,C_frozen,0.0
1000,370,majority,8,C_frozen,0.0
1000,380,majority,1,C_frozen,0.0
1000,380,majority,2,C_frozen,0.0
1000,380,majority,4,C_frozen,0.0
1000,380,majority,8,C_frozen,0.0
1000,390,majority,1,C_frozen,0.0
1000,390,majority,2,C_frozen,0.0
1000,390,majority,4,C_frozen,0.0
1000,390,majority,8,C_frozen,0.0
1000,400,majority,1,C_frozen,0.0
1000,400,majority,2,C_frozen,0.0
1000,400,majority,4,C_frozen,0.0
1000,400,majority,8,C_frozen,0.0
1000,410,majority,1,C_frozen,0.0
1000,410,majority,2,C_frozen,0.0
1000,410,majority,4,C_frozen,0.0
1000,410,majority,8,C_frozen,0.0
1000,420,majority,1,C_frozen,0.0
1000,420,majority,2,C_frozen,0.0
1000,420,majority,4,C_frozen,0.0
1000,420,majority,8,C_frozen,0.0
1000,430,majority,1,C_frozen,0.0
1000,430,majority,2,C_frozen,0.0
1000,430,majority,4,C_frozen,0.0
1000,430,majority,8,C_frozen,0.0
1000,440,majority,1,C_frozen,0.0
1000,440,majority,2,C_frozen,0.0
1000,440,majority,4,C_frozen,0.0
1000,440,majority,8,C_frozen,0.0
1000,450,majority,1,C_frozen,0.0
