scheme,estimator,b_from,b_to,n_train,n_test,isotonic_rmse_test,isotonic_mae_test,isotonic_spearman_test,poly_degree_selected,poly_rmse_test,poly_mae_test,poly_spearman_test,monotonicity_violations_poly,saturated_from,saturated_to
average,C_activity,1,2,1337,573,0.002810797731284216,0.0017722446368984258,0.999789432614768,3,0.0031597458927568383,0.002251021556459009,0.9997902958908966,0,False,False
average,C_activity,2,4,1337,573,0.010998528854293718,0.006944095631510548,0.9977428982674162,3,0.030636464478394913,0.021725727329250853,0.9977443877860831,0,False,False
average,C_activity,4,8,1337,573,0.002574832976436617,0.0017126076839169375,,3,0.00479999026051605,0.003390242282890671,,111,False,True
average,C_frozen,1,2,1337,573,0.0028107977312842127,0.001772244636898424,0.999789432614768,3,0.0031597458927576966,0.0022510215564592144,0.9997902958908966,0,False,False
average,C_frozen,2,4,1337,573,0.010998528854293723,0.00694409563151055,0.9977428982674162,3,0.030636464478392435,0.021725727329248844,0.9977443877860831,0,False,False
average,C_frozen,4,8,1337,573,0.002574832976436612,0.0017126076839169356,,3,0.004799990260515168,0.0033902422828901418,,111,False,True
average,H_2x2,1,2,1337,573,0.009398754719117918,0.007782529164784538,0.9910253684790299,3,0.008657356390837971,0.006892719326358589,0.9908642269850044,0,False,False
average,H_2x2,2,4,1337,573,0.017082375851046286,0.013377765388851432,0.9190665662120535,2,0.01651457457697756,0.012846080923549469,0.920660307209004,0,False,False
average,H_2x2,4,8,1337,573,0.003346857319722205,0.0006976122109400159,,2,0.003181792177253869,0.0006650892736805584,,0,False,True
majority,C_activity,1,2,1337,573,0.002810797731284216,0.0017722446368984258,0.999789432614768,3,0.0031597458927568383,0.002251021556459009,0.9997902958908966,0,False,False
majority,C_activity,2,4,1337,573,0.010998528854293718,0.006944095631510548,0.9977428982674162,3,0.030636464478394913,0.021725727329250853,0.9977443877860831,0,False,False
majority,C_activity,4,8,1337,573,0.002574832976436617,0.0017126076839169375,,3,0.00479999026051605,0.003390242282890671,,111,False,True
majority,C_frozen,1,2,1337,573,0.0028107977312842127,0.001772244636898424,0.999789432614768,3,0.0031597458927576966,0.0022510215564592144,0.9997902958908966,0,False,False
majority,C_frozen,2,4,1337,573,0.010998528854293723,0.00694409563151055,0.9977428982674162,3,0.030636464478392435,0.021725727329248844,0.9977443877860831,0,False,False
majority,C_frozen,4,8,1337,573,0.002574832976436612,0.0017126076839169356,,3,0.004799990260515168,0.0033902422828901418,,111,False,True
majority,H_2x2,1,2,1337,573,0.009398754719117918,0.007782529164784538,0.9910253684790299,3,0.008657356390837971,0.006892719326358589,0.9908642269850044,0,False,False
majority,H_2x2,2,4,1337,573,0.017082375851046286,0.013377765388851432,0.9190665662120535,2,0.01651457457697756,0.012846080923549469,0.920660307209004,0,False,False
majority,H_2x2,4,8,1337,573,0.003346857319722205,0.0006976122109400159,,2,0.003181792177253869,0.0006650892736805584,,0,False,True
threshold_high,C_activity,1,2,1337,573,0.009424546139389959,0.005952394933981607,0.9985383925647828,3,0.020039883414987098,0.013537290462803048,0.9983904213027515,0,False,False
threshold_high,C_activity,2,4,1337,573,0.00851096389212731,0.005146660742199163,,3,0.011181109771957127,0.007997728748773655,,0,False,True
threshold_high,C_activity,4,8,1337,573,0.0,0.0,,3,0.00013913813943291494,8.219850835967554e-05,,41,True,True
threshold_high,C_frozen,1,2,1337,573,0.009424546139389959,0.005952394933981606,0.9985383925647828,3,0.0200398834149861,0.013537290462801943,0.9983904213027515,0,False,False
threshold_high,C_frozen,2,4,1337,573,0.008510963892127306,0.005146660742199161,,3,0.01118110977195535,0.007997728748773322,,0,False,True
threshold_high,C_frozen,4,8,1337,573,0.0,0.0,,3,0.00013913813943572105,8.219850836030402e-05,,41,True,True
threshold_high,H_2x2,1,2,1337,573,0.009986319717121073,0.007792269655469124,0.9672443317039828,2,0.009928069341454487,0.007965397605132134,0.9670270035308222,0,False,False
threshold_high,H_2x2,2,4,1337,573,0.009089190137880206,0.006586505784197561,,2,0.008949354765288462,0.006555427559160309,,0,False,True
threshold_high,H_2x2,4,8,1337,573,0.0001905565117743959,1.1258006137751289e-05,,2,9.351049940329674e-05,4.172666895524475e-05,,1,True,True
threshold_low,C_activity,1,2,1337,573,0.002810797731284216,0.0017722446368984258,0.999789432614768,3,0.0031597458927568383,0.002251021556459009,0.9997902958908966,0,False,False
threshold_low,C_activity,2,4,1337,573,0.012864558847979907,0.008246707752783664,0.9973527498639886,3,0.019621711563235517,0.014126790136031981,0.9973499434559178,0,False,False
threshold_low,C_activity,4,8,1337,573,0.01206849018321863,0.007416548403812748,,3,0.01652383037641298,0.012198195474249423,,0,False,True
threshold_low,C_frozen,1,2,1337,573,0.0028107977312842127,0.001772244636898424,0.999789432614768,3,0.0031597458927576966,0.0022510215564592144,0.9997902958908966,0,False,False
threshold_low,C_frozen,2,4,1337,573,0.01286455884797991,0.00824670775278367,0.9973527498639886,3,0.019621711563233637,0.014126790136030295,0.9973499434559178,0,False,False
threshold_low,C_frozen,4,8,1337,573,0.01206849018321863,0.007416548403812749,,3,0.01652383037641088,0.012198195474248783,,0,False,True
threshold_low,H_2x2,1,2,1337,573,0.009398754719117918,0.007782529164784538,0.9910253684790299,3,0.008657356390837971,0.006892719326358589,0.9908642269850044,0,False,False
threshold_low,H_2x2,2,4,1337,573,0.019586228223428908,0.01566223494116019,0.9485422999186183,3,0.01864525922490333,0.013912102218268494,0.9496605054767486,0,False,False
threshold_low,H_2x2,4,8,1337,573,0.015519533823199101,0.009883729613176857,,2,0.015553114485599763,0.010011643253985259,,0,False,True
