seed,label,baseline_transition_t,fit_transition_t,gate_pass,align_fail_families,order_fail_families,diverges_from_baseline,q_force,q_info,q_constraint,tau_force,tau_info,tau_constraint,p_force,p_info,p_constraint,n_s1,n_s2,n_s3,n_pt_candidates,tau_force_alt,tau_info_alt,tau_constraint_alt,p_force_alt,p_info_alt,p_constraint_alt,n_s1_alt,n_s2_alt,n_s3_alt,n_pt_candidates_alt,notes
seed_140,INCONCLUSIVE,1000,1,True,,,True,0.98,0.98,0.98,1.9491498961579055,0.005336700268927075,0.05315856839649388,0.02108433734939759,0.022590361445783132,0.02108433734939759,14,15,14,2,0.4989565818104893,0.012683892165354038,0.011608488196885952,0.02108433734939759,0.022590361445783132,0.02108433734939759,14,15,14,4,density_gate_fail:primary|density_gate_fail:alt
seed_141,INCONCLUSIVE,2500,,False,,,True,0.98,0.98,0.98,0.8205758803524077,0.0041567450970306785,0.047583519196120305,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,0.2897313139867037,0.009877967618041605,0.011546459271387643,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,density_gate_fail:primary|density_gate_fail:alt
seed_142,INCONCLUSIVE,2500,9000,False,alt,,True,0.98,0.98,0.98,1.3548108717805007,0.003331781502049047,0.05382235610192948,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,1,0.3457973586278968,0.007933089286348505,0.010091564387297858,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,1,density_gate_fail:primary|density_gate_fail:alt
seed_143,INCONCLUSIVE,2500,,False,,,True,0.98,0.98,0.98,1.713145215093391,0.004347962994000976,0.05143051206865132,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,0.3810453056721599,0.01016744576754336,0.010296141578018475,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,density_gate_fail:primary|density_gate_fail:alt
seed_144,INCONCLUSIVE,2500,,False,,,True,0.98,0.98,0.98,1.0182409875560552,0.004074780798471123,0.047365362262688865,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,0.32605538672069084,0.009654897361729198,0.010192616372391633,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,density_gate_fail:primary|density_gate_fail:alt
seed_145,INCONCLUSIVE,2500,28500,False,alt,,True,0.98,0.98,0.98,2.565574655716773,0.0035131712596842,0.05495634309193631,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,1,0.5166198659455404,0.008353070464639067,0.01104652114820942,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,density_gate_fail:primary|density_gate_fail:alt
seed_146,INCONCLUSIVE,2500,,False,,,True,0.98,0.98,0.98,0.9045209789182991,0.0038345006339632892,0.04385364611516057,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,0.33134892059024423,0.009086983875903787,0.009691715302835802,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,density_gate_fail:primary|density_gate_fail:alt
seed_147,INCONCLUSIVE,2500,25000,False,alt,,True,0.98,0.98,0.98,2.5227849717484787,0.003875792052956961,0.04847279249870359,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,1,0.5761631867790129,0.009208596115305223,0.009531775344916088,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,2,density_gate_fail:primary|density_gate_fail:alt
seed_148,INCONCLUSIVE,2500,,False,,,True,0.98,0.98,0.98,0.7076691244728863,0.003932162867747113,0.04980711049927167,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,0.20427800826728326,0.009344631831426753,0.009861111111111098,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,density_gate_fail:primary|density_gate_fail:alt
seed_149,INCONCLUSIVE,2500,5500,False,alt,,True,0.98,0.98,0.98,0.462438284419477,0.003710620887811933,0.05919517102615693,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,1,0.15940494280366693,0.008527573223538809,0.012063060179257373,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,1,density_gate_fail:primary|density_gate_fail:alt
seed_150,INCONCLUSIVE,2500,,False,,,True,0.98,0.98,0.98,2.050027214048896,0.004068711964799188,0.058048399687743946,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,0.4188172703667078,0.009408263181428733,0.012898550724637664,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,density_gate_fail:primary|density_gate_fail:alt
seed_151,INCONCLUSIVE,2500,,False,,,True,0.98,0.98,0.98,1.8486679933266714,0.00404828672197588,0.0559598821211677,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,0.3864493185188622,0.00958706940051135,0.011430904266176767,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,density_gate_fail:primary|density_gate_fail:alt
seed_152,INCONCLUSIVE,2500,,False,,,True,0.98,0.98,0.98,1.4667619585525244,0.0042582800904645834,0.051121221969450764,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,0.42605245287995785,0.009834520459701235,0.010386625703227875,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,1,density_gate_fail:primary|density_gate_fail:alt
seed_153,INCONCLUSIVE,2500,,False,,,True,0.98,0.98,0.98,0.7907226062379777,0.004052490688304822,0.052848665706249576,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,0.2530372112756595,0.009411751119398293,0.011820544342602823,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,1,density_gate_fail:primary|density_gate_fail:alt
seed_154,INCONCLUSIVE,2500,,False,,,True,0.98,0.98,0.98,0.4173830449144589,0.004180832492645892,0.04846821039229726,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,0.16947974095819518,0.009888713058961773,0.009975600157418357,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,density_gate_fail:primary|density_gate_fail:alt
seed_155,INCONCLUSIVE,2500,,False,,,True,0.98,0.98,0.98,0.703825353179127,0.003581562612506639,0.05177477017364657,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,0.20970285562798363,0.008459831781572724,0.011473909063167503,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,density_gate_fail:primary|density_gate_fail:alt
seed_156,INCONCLUSIVE,2500,,False,,,True,0.98,0.98,0.98,2.1751743837376125,0.0038366891754214594,0.05926085982265758,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,0.4301542000845075,0.009105284994767704,0.011350499211770892,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,density_gate_fail:primary|density_gate_fail:alt
seed_157,INCONCLUSIVE,2500,,False,,,True,0.98,0.98,0.98,1.8722120955353603,0.0035693673157581873,0.04672691205642493,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,0.4203265158459545,0.0083528110702078,0.009818682208191709,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,density_gate_fail:primary|density_gate_fail:alt
seed_158,INCONCLUSIVE,2500,,False,,,True,0.98,0.98,0.98,1.318547324903193,0.004075292065752301,0.054980669953932,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,0.31506986132202064,0.009651469311965144,0.011278740566073725,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,density_gate_fail:primary|density_gate_fail:alt
seed_159,INCONCLUSIVE,2500,1000,True,,,True,0.98,0.98,0.98,2.2113178951040027,0.004997662521511459,0.05153925977170529,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,1,0.6100879147794331,0.011592702050089887,0.010375882221441562,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,2,density_gate_fail:primary|density_gate_fail:alt
seed_160,INCONCLUSIVE,2500,,False,,,True,0.98,0.98,0.98,1.5820540997774515,0.004086040714816663,0.046041442088872925,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,0.3375869658397278,0.009673730195022934,0.010375158259478934,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,density_gate_fail:primary|density_gate_fail:alt
seed_161,INCONCLUSIVE,2500,,False,,,True,0.98,0.98,0.98,1.7423853302025236,0.004090890706454853,0.05155783183952198,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,0.3794764293066692,0.009756416652912492,0.011277872026104557,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,density_gate_fail:primary|density_gate_fail:alt
seed_162,INCONCLUSIVE,2500,,False,,,True,0.98,0.98,0.98,1.7008729075023439,0.004199077666856121,0.05033080326338432,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,0.3524865179497283,0.009900979934588161,0.010132123527538978,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,density_gate_fail:primary|density_gate_fail:alt
seed_163,INCONCLUSIVE,2500,117000,False,alt,,True,0.98,0.98,0.98,1.25726453731113,0.003829903853005634,0.052530461600687584,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,1,0.313027050124947,0.00910892618626935,0.010194198744873262,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,1,density_gate_fail:primary|density_gate_fail:alt
seed_164,INCONCLUSIVE,2500,,False,,,True,0.98,0.98,0.98,1.9750506721029524,0.004058583017282347,0.04827421532786613,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,0.3966301014646887,0.009655140138997265,0.009523809523809518,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,density_gate_fail:primary|density_gate_fail:alt
seed_165,INCONCLUSIVE,2500,,False,,,True,0.98,0.98,0.98,0.7775083185406402,0.003788194937566214,0.04656404187370014,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,0.20346540289465337,0.009004454553372288,0.010233652540246885,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,1,density_gate_fail:primary|density_gate_fail:alt
seed_166,INCONCLUSIVE,2500,8000,False,alt,,True,0.98,0.98,0.98,1.7470822231844068,0.004126445202895401,0.046542443064182204,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,1,0.3910369712393731,0.009828140270878638,0.00966292134831459,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,1,density_gate_fail:primary|density_gate_fail:alt
seed_167,INCONCLUSIVE,2500,17000,False,alt,,True,0.98,0.98,0.98,1.8599049588665366,0.003316832653800894,0.0483722868232008,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,1,0.42304524925857556,0.007871663683228114,0.009839205202888751,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,density_gate_fail:primary|density_gate_fail:alt
seed_168,INCONCLUSIVE,2500,5000,True,,,True,0.98,0.98,0.98,1.4973752351361327,0.003406052037202345,0.048913043478260865,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,2,0.3958660196105484,0.008090440445929659,0.01089712803765247,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,1,density_gate_fail:primary|density_gate_fail:alt
seed_169,INCONCLUSIVE,2500,,False,,,True,0.98,0.98,0.98,1.6339683209371287,0.0040753980099093035,0.049678309203082305,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,0.35332684898166916,0.009650989913453145,0.010530890827726097,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,density_gate_fail:primary|density_gate_fail:alt
seed_170,INCONCLUSIVE,2500,,False,,,True,0.98,0.98,0.98,1.2464810931123793,0.0040078221357201516,0.04951629130872223,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,0.33673043204471487,0.00950934282389726,0.010128574351226771,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,density_gate_fail:primary|density_gate_fail:alt
seed_171,INCONCLUSIVE,2500,,False,,,True,0.98,0.98,0.98,2.2969324730802327,0.003658466489826928,0.05040472721385786,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,0.4727724282769486,0.008689073198693276,0.010798628745556121,0.021630615640599003,0.021630615640599003,0.021630615640599003,13,13,13,0,density_gate_fail:primary|density_gate_fail:alt
