seed,group,matrix,perturb_type,scale_rel,perturb_seed_idx,t50,t90,auc,unrecovered,baseline_acc
140,grokked,embed.weight,gaussian_random,0.005,0,0.0,700.0,0.9,0.0,0.893
140,grokked,embed.weight,gaussian_random,0.005,1,0.0,300.0,0.897,1.0,0.893
140,grokked,embed.weight,gaussian_random,0.005,2,0.0,900.0,0.9,0.0,0.893
140,grokked,embed.weight,gaussian_random,0.01,0,0.0,400.0,0.904,0.0,0.893
140,grokked,embed.weight,gaussian_random,0.01,1,0.0,400.0,0.896,1.0,0.893
140,grokked,embed.weight,gaussian_random,0.01,2,0.0,900.0,0.9,0.0,0.893
140,grokked,embed.weight,gaussian_random,0.02,0,0.0,600.0,0.903,0.0,0.893
140,grokked,embed.weight,gaussian_random,0.02,1,0.0,300.0,0.894,0.0,0.893
140,grokked,embed.weight,gaussian_random,0.02,2,0.0,600.0,0.901,0.0,0.893
140,grokked,embed.weight,gaussian_random,0.05,0,0.0,600.0,0.897,1.0,0.893
140,grokked,embed.weight,gaussian_random,0.05,1,0.0,700.0,0.9,0.0,0.893
140,grokked,embed.weight,gaussian_random,0.05,2,0.0,400.0,0.902,0.0,0.893
140,grokked,embed.weight,structured_rank1,0.005,0,0.0,600.0,0.9,0.0,0.893
140,grokked,embed.weight,structured_rank1,0.005,1,0.0,700.0,0.902,0.0,0.893
140,grokked,embed.weight,structured_rank1,0.005,2,0.0,400.0,0.891,0.0,0.893
140,grokked,embed.weight,structured_rank1,0.01,0,0.0,700.0,0.901,0.0,0.893
140,grokked,embed.weight,structured_rank1,0.01,1,0.0,1200.0,0.894,0.0,0.893
140,grokked,embed.weight,structured_rank1,0.01,2,0.0,500.0,0.902,0.0,0.893
140,grokked,embed.weight,structured_rank1,0.02,0,0.0,400.0,0.893,0.0,0.893
140,grokked,embed.weight,structured_rank1,0.02,1,0.0,200.0,0.901,0.0,0.893
140,grokked,embed.weight,structured_rank1,0.02,2,0.0,500.0,0.905,0.0,0.893
140,grokked,embed.weight,structured_rank1,0.05,0,0.0,900.0,0.895,0.0,0.893
140,grokked,embed.weight,structured_rank1,0.05,1,0.0,700.0,0.902,0.0,0.893
140,grokked,embed.weight,structured_rank1,0.05,2,0.0,500.0,0.893,1.0,0.893
140,pregrok,embed.weight,gaussian_random,0.005,0,0.0,2000.0,0.514,1.0,0.5145
140,pregrok,embed.weight,gaussian_random,0.005,1,0.0,2000.0,0.512,1.0,0.5145
140,pregrok,embed.weight,gaussian_random,0.005,2,0.0,2000.0,0.512,1.0,0.5145
140,pregrok,embed.weight,gaussian_random,0.01,0,0.0,2000.0,0.514,1.0,0.5145
140,pregrok,embed.weight,gaussian_random,0.01,1,0.0,2000.0,0.511,1.0,0.5145
140,pregrok,embed.weight,gaussian_random,0.01,2,0.0,2000.0,0.513,1.0,0.5145
140,pregrok,embed.weight,gaussian_random,0.02,0,0.0,2000.0,0.514,1.0,0.5145
140,pregrok,embed.weight,gaussian_random,0.02,1,0.0,2000.0,0.508,1.0,0.5145
140,pregrok,embed.weight,gaussian_random,0.02,2,0.0,2000.0,0.51,1.0,0.5145
140,pregrok,embed.weight,gaussian_random,0.05,0,0.0,2000.0,0.514,1.0,0.5145
140,pregrok,embed.weight,gaussian_random,0.05,1,0.0,2000.0,0.507,1.0,0.5145
