seed,t,scheme,b,estimator,value
13000,500,majority,1,C_frozen,0.0
13000,500,majority,1,C_activity,1.0
13000,500,majority,1,H_2x2,0.5999901056340685
13000,500,majority,2,C_frozen,0.0
13000,500,majority,2,C_activity,1.0
13000,500,majority,2,H_2x2,0.5041858108961287
13000,500,majority,4,C_frozen,0.0
13000,500,majority,4,C_activity,1.0
13000,500,majority,4,H_2x2,0.5238493339620625
13000,500,majority,8,C_frozen,0.0
13000,500,majority,8,C_activity,1.0
13000,500,majority,8,H_2x2,0.4527761945274639
13000,500,threshold_low,1,C_frozen,0.0
13000,500,threshold_low,1,C_activity,1.0
13000,500,threshold_low,1,H_2x2,0.5999901056340685
13000,500,threshold_low,2,C_frozen,0.0
13000,500,threshold_low,2,C_activity,1.0
13000,500,threshold_low,2,H_2x2,0.5041858108961287
13000,500,threshold_low,4,C_frozen,0.0
13000,500,threshold_low,4,C_activity,1.0
13000,500,threshold_low,4,H_2x2,0.49518868889858236
13000,500,threshold_low,8,C_frozen,0.0
13000,500,threshold_low,8,C_activity,1.0
13000,500,threshold_low,8,H_2x2,0.3892856931988014
13000,500,threshold_high,1,C_frozen,0.0
13000,500,threshold_high,1,C_activity,1.0
13000,500,threshold_high,1,H_2x2,0.5999901056340685
13000,500,threshold_high,2,C_frozen,0.0
13000,500,threshold_high,2,C_activity,1.0
13000,500,threshold_high,2,H_2x2,0.6480119596968015
13000,500,threshold_high,4,C_frozen,0.0
13000,500,threshold_high,4,C_activity,1.0
13000,500,threshold_high,4,H_2x2,0.6236683638755631
13000,500,threshold_high,8,C_frozen,0.0
13000,500,threshold_high,8,C_activity,1.0
13000,500,threshold_high,8,H_2x2,0.5363068045859318
13000,500,average,1,C_frozen,0.0
13000,500,average,1,C_activity,1.0
13000,500,average,1,H_2x2,0.5999901056340685
13000,500,average,2,C_frozen,0.0
13000,500,average,2,C_activity,1.0
13000,500,average,2,H_2x2,0.5041858108961287
13000,500,average,4,C_frozen,0.0
13000,500,average,4,C_activity,1.0
13000,500,average,4,H_2x2,0.5238493339620625
13000,500,average,8,C_frozen,0.0
13000,500,average,8,C_activity,1.0
13000,500,average,8,H_2x2,0.4527761945274639
13000,520,majority,1,C_frozen,0.0
13000,520,majority,1,C_activity,1.0
13000,520,majority,1,H_2x2,0.5870137607620893
13000,520,majority,2,C_frozen,0.0
13000,520,majority,2,C_activity,1.0
13000,520,majority,2,H_2x2,0.5064749166536976
13000,520,majority,4,C_frozen,0.0
13000,520,majority,4,C_activity,1.0
13000,520,majority,4,H_2x2,0.4890604256564529
13000,520,majority,8,C_frozen,0.0
13000,520,majority,8,C_activity,1.0
13000,520,majority,8,H_2x2,0.45381003244344215
13000,520,threshold_low,1,C_frozen,0.0
13000,520,threshold_low,1,C_activity,1.0
13000,520,threshold_low,1,H_2x2,0.5870137607620893
13000,520,threshold_low,2,C_frozen,0.0
13000,520,threshold_low,2,C_activity,1.0
13000,520,threshold_low,2,H_2x2,0.5064749166536976
13000,520,threshold_low,4,C_frozen,0.0
13000,520,threshold_low,4,C_activity,1.0
13000,520,threshold_low,4,H_2x2,0.43150892121792733
13000,520,threshold_low,8,C_frozen,0.0
13000,520,threshold_low,8,C_activity,1.0
13000,520,threshold_low,8,H_2x2,0.3370992793239691
13000,520,threshold_high,1,C_frozen,0.0
13000,520,threshold_high,1,C_activity,1.0
13000,520,threshold_high,1,H_2x2,0.5870137607620893
13000,520,threshold_high,2,C_frozen,0.0
13000,520,threshold_high,2,C_activity,1.0
13000,520,threshold_high,2,H_2x2,0.6504769714527769
13000,520,threshold_high,4,C_frozen,0.0
13000,520,threshold_high,4,C_activity,1.0
13000,520,threshold_high,4,H_2x2,0.6026887049720251
13000,520,threshold_high,8,C_frozen,0.0
13000,520,threshold_high,8,C_activity,1.0
13000,520,threshold_high,8,H_2x2,0.5674845977370733
13000,520,average,1,C_frozen,0.0
13000,520,average,1,C_activity,1.0
13000,520,average,1,H_2x2,0.5870137607620893
13000,520,average,2,C_frozen,0.0
13000,520,average,2,C_activity,1.0
13000,520,average,2,H_2x2,0.5064749166536976
13000,520,average,4,C_frozen,0.0
13000,520,average,4,C_activity,1.0
13000,520,average,4,H_2x2,0.4890604256564529
13000,520,average,8,C_frozen,0.0
13000,520,average,8,C_activity,1.0
13000,520,average,8,H_2x2,0.45381003244344215
13000,540,majority,1,C_frozen,0.0
13000,540,majority,1,C_activity,1.0
13000,540,majority,1,H_2x2,0.5931702358109616
13000,540,majority,2,C_frozen,0.0
13000,540,majority,2,C_activity,1.0
13000,540,majority,2,H_2x2,0.5299941624416691
13000,540,majority,4,C_frozen,0.0
13000,540,majority,4,C_activity,1.0
13000,540,majority,4,H_2x2,0.5321492605940183
13000,540,majority,8,C_frozen,0.0
13000,540,majority,8,C_activity,1.0
13000,540,majority,8,H_2x2,0.5580398972578668
13000,540,threshold_low,1,C_frozen,0.0
13000,540,threshold_low,1,C_activity,1.0
13000,540,threshold_low,1,H_2x2,0.5931702358109616
13000,540,threshold_low,2,C_frozen,0.0
