seed,t,scheme,b,estimator,value
14200,400,majority,1,C_frozen,0.0
14200,400,majority,1,C_activity,1.0
14200,400,majority,1,H_2x2,0.7405871725614586
14200,400,majority,2,C_frozen,0.0
14200,400,majority,2,C_activity,1.0
14200,400,majority,2,H_2x2,0.8095426447229481
14200,400,majority,4,C_frozen,0.0
14200,400,majority,4,C_activity,1.0
14200,400,majority,4,H_2x2,0.7996487683537548
14200,400,majority,8,C_frozen,0.0
14200,400,majority,8,C_activity,1.0
14200,400,majority,8,H_2x2,0.8385163545370312
14200,400,threshold_low,1,C_frozen,0.0
14200,400,threshold_low,1,C_activity,1.0
14200,400,threshold_low,1,H_2x2,0.7405871725614586
14200,400,threshold_low,2,C_frozen,0.0
14200,400,threshold_low,2,C_activity,1.0
14200,400,threshold_low,2,H_2x2,0.8095426447229481
14200,400,threshold_low,4,C_frozen,0.0
14200,400,threshold_low,4,C_activity,1.0
14200,400,threshold_low,4,H_2x2,0.8325919153987134
14200,400,threshold_low,8,C_frozen,0.0
14200,400,threshold_low,8,C_activity,1.0
14200,400,threshold_low,8,H_2x2,0.8849856380625382
14200,400,threshold_high,1,C_frozen,0.0
14200,400,threshold_high,1,C_activity,1.0
14200,400,threshold_high,1,H_2x2,0.7405871725614586
14200,400,threshold_high,2,C_frozen,0.0
14200,400,threshold_high,2,C_activity,1.0
14200,400,threshold_high,2,H_2x2,0.748548279246034
14200,400,threshold_high,4,C_frozen,0.0
14200,400,threshold_high,4,C_activity,1.0
14200,400,threshold_high,4,H_2x2,0.7659681505390494
14200,400,threshold_high,8,C_frozen,0.0
14200,400,threshold_high,8,C_activity,1.0
14200,400,threshold_high,8,H_2x2,0.7244914478498226
14200,400,average,1,C_frozen,0.0
14200,400,average,1,C_activity,1.0
14200,400,average,1,H_2x2,0.7405871725614586
14200,400,average,2,C_frozen,0.0
14200,400,average,2,C_activity,1.0
14200,400,average,2,H_2x2,0.8095426447229481
14200,400,average,4,C_frozen,0.0
14200,400,average,4,C_activity,1.0
14200,400,average,4,H_2x2,0.7996487683537548
14200,400,average,8,C_frozen,0.0
14200,400,average,8,C_activity,1.0
14200,400,average,8,H_2x2,0.8385163545370312
14200,420,majority,1,C_frozen,0.0
14200,420,majority,1,C_activity,1.0
14200,420,majority,1,H_2x2,0.7510725057165893
14200,420,majority,2,C_frozen,0.0
14200,420,majority,2,C_activity,1.0
14200,420,majority,2,H_2x2,0.7998862648958467
14200,420,majority,4,C_frozen,0.0
14200,420,majority,4,C_activity,1.0
14200,420,majority,4,H_2x2,0.8594461993383009
14200,420,majority,8,C_frozen,0.0
14200,420,majority,8,C_activity,1.0
14200,420,majority,8,H_2x2,0.9091240944066132
14200,420,threshold_low,1,C_frozen,0.0
14200,420,threshold_low,1,C_activity,1.0
14200,420,threshold_low,1,H_2x2,0.7510725057165893
14200,420,threshold_low,2,C_frozen,0.0
14200,420,threshold_low,2,C_activity,1.0
14200,420,threshold_low,2,H_2x2,0.7998862648958467
14200,420,threshold_low,4,C_frozen,0.0
14200,420,threshold_low,4,C_activity,1.0
14200,420,threshold_low,4,H_2x2,0.8386514615130702
14200,420,threshold_low,8,C_frozen,0.0
14200,420,threshold_low,8,C_activity,1.0
14200,420,threshold_low,8,H_2x2,0.9363410649668016
14200,420,threshold_high,1,C_frozen,0.0
14200,420,threshold_high,1,C_activity,1.0
14200,420,threshold_high,1,H_2x2,0.7510725057165893
14200,420,threshold_high,2,C_frozen,0.0
14200,420,threshold_high,2,C_activity,1.0
14200,420,threshold_high,2,H_2x2,0.7682947362619438
14200,420,threshold_high,4,C_frozen,0.0
14200,420,threshold_high,4,C_activity,1.0
14200,420,threshold_high,4,H_2x2,0.8266819546333397
14200,420,threshold_high,8,C_frozen,0.0
14200,420,threshold_high,8,C_activity,1.0
14200,420,threshold_high,8,H_2x2,0.7474379438690695
14200,420,average,1,C_frozen,0.0
14200,420,average,1,C_activity,1.0
14200,420,average,1,H_2x2,0.7510725057165893
14200,420,average,2,C_frozen,0.0
14200,420,average,2,C_activity,1.0
14200,420,average,2,H_2x2,0.7998862648958467
14200,420,average,4,C_frozen,0.0
14200,420,average,4,C_activity,1.0
14200,420,average,4,H_2x2,0.8594461993383009
14200,420,average,8,C_frozen,0.0
14200,420,average,8,C_activity,1.0
14200,420,average,8,H_2x2,0.9091240944066132
14200,440,majority,1,C_frozen,0.0
14200,440,majority,1,C_activity,1.0
14200,440,majority,1,H_2x2,0.7414358891639231
14200,440,majority,2,C_frozen,0.0
14200,440,majority,2,C_activity,1.0
14200,440,majority,2,H_2x2,0.8172271842111066
14200,440,majority,4,C_frozen,0.0
14200,440,majority,4,C_activity,1.0
14200,440,majority,4,H_2x2,0.8542574732689561
14200,440,majority,8,C_frozen,0.0
14200,440,majority,8,C_activity,1.0
14200,440,majority,8,H_2x2,0.9282790635766925
14200,440,threshold_low,1,C_frozen,0.0
14200,440,threshold_low,1,C_activity,1.0
14200,440,threshold_low,1,H_2x2,0.7414358891639231
14200,440,threshold_low,2,C_frozen,0.0
14200,440,threshold_low,2,C_activity,1.0
14200,440,threshold_low,2,H_2x2,0.8172271842111066
14200,440,threshold_low,4,C_frozen,0.0
14200,440,threshold_low,4,C_activity,1.0
14200,440,threshold_low,4,H_2x2,0.8602383456183793
14200,440,threshold_low,8,C_frozen,0.0
14200,440,threshold_low,8,C_activity,1.0
14200,440,threshold_low,8,H_2x2,0.9412780528242184
14200,440,threshold_high,1,C_frozen,0.0
14200,440,threshold_high,1,C_activity,1.0
14200,440,threshold_high,1,H_2x2,0.7414358891639231
14200,440,threshold_high,2,C_frozen,0.0
14200,440,threshold_high,2,C_activity,1.0
14200,440,threshold_high,2,H_2x2,0.7795604033231053
14200,440,threshold_high,4,C_frozen,0.0
14200,440,threshold_high,4,C_activity,1.0
14200,440,threshold_high,4,H_2x2,0.8299359240977917
14200,440,threshold_high,8,C_frozen,0.0
14200,440,threshold_high,8,C_activity,1.0
14200,440,threshold_high,8,H_2x2,0.7929634820328015
14200,440,average,1,C_frozen,0.0
14200,440,average,1,C_activity,1.0
14200,440,average,1,H_2x2,0.7414358891639231
14200,440,average,2,C_frozen,0.0
14200,440,average,2,C_activity,1.0
14200,440,average,2,H_2x2,0.8172271842111066
14200,440,average,4,C_frozen,0.0
14200,440,average,4,C_activity,1.0
14200,440,average,4,H_2x2,0.8542574732689561
14200,440,average,8,C_frozen,0.0
14200,440,average,8,C_activity,1.0
14200,440,average,8,H_2x2,0.9282790635766925
14200,460,majority,1,C_frozen,0.0
14200,460,majority,1,C_activity,1.0
14200,460,majority,1,H_2x2,0.7600028294399945
14200,460,majority,2,C_frozen,0.0
14200,460,majority,2,C_activity,1.0
14200,460,majority,2,H_2x2,0.8193804758304044
14200,460,majority,4,C_frozen,0.0
14200,460,majority,4,C_activity,1.0
14200,460,majority,4,H_2x2,0.8456466874365958
14200,460,majority,8,C_frozen,0.0
14200,460,majority,8,C_activity,1.0
