scheme,estimator,tested,reason,block,temp_tag,temperature,n_train_direct,n_test_direct,n_perm,rmse_real,rmse_perm_mean,rmse_perm_std,p_emp_lower_tail,effect_sigma,negative_control_pass,independent_estimator
average,C_activity,False,saturated_required_scales,A,T2p10,2.1,,,,,,,,,,
average,C_frozen,False,saturated_required_scales,A,T2p10,2.1,,,,,,,,,,
average,H_2x2,True,,A,T2p10,2.1,704.0,352.0,200.0,0.021754046432202842,0.17669326092552418,0.0038422740998158853,0.004975124378109453,40.32487284047375,True,True
majority,C_activity,False,saturated_required_scales,A,T2p10,2.1,,,,,,,,,,
majority,C_frozen,False,saturated_required_scales,A,T2p10,2.1,,,,,,,,,,
majority,H_2x2,True,,A,T2p10,2.1,704.0,352.0,200.0,0.021754046432202842,0.17669326092552418,0.0038422740998158853,0.004975124378109453,40.32487284047375,True,True
threshold_high,C_activity,False,saturated_required_scales,A,T2p10,2.1,,,,,,,,,,
threshold_high,C_frozen,False,saturated_required_scales,A,T2p10,2.1,,,,,,,,,,
threshold_high,H_2x2,True,,A,T2p10,2.1,704.0,352.0,200.0,0.03659893597447449,0.15072991277485598,0.003865145829391216,0.004975124378109453,29.528245980400126,True,True
threshold_low,C_activity,False,saturated_required_scales,A,T2p10,2.1,,,,,,,,,,
threshold_low,C_frozen,False,saturated_required_scales,A,T2p10,2.1,,,,,,,,,,
threshold_low,H_2x2,True,,A,T2p10,2.1,704.0,352.0,200.0,0.01703013549515322,0.1739028873790207,0.003936756691283991,0.004975124378109453,39.84822131151385,True,True
average,C_activity,False,saturated_required_scales,B,T2p10,2.1,,,,,,,,,,
average,C_frozen,False,saturated_required_scales,B,T2p10,2.1,,,,,,,,,,
average,H_2x2,True,,B,T2p10,2.1,704.0,352.0,200.0,0.019823123816552875,0.1546182598229335,0.003571465595681168,0.004975124378109453,37.74224681581227,True,True
majority,C_activity,False,saturated_required_scales,B,T2p10,2.1,,,,,,,,,,
majority,C_frozen,False,saturated_required_scales,B,T2p10,2.1,,,,,,,,,,
majority,H_2x2,True,,B,T2p10,2.1,704.0,352.0,200.0,0.019823123816552875,0.1546182598229335,0.003571465595681168,0.004975124378109453,37.74224681581227,True,True
threshold_high,C_activity,False,saturated_required_scales,B,T2p10,2.1,,,,,,,,,,
threshold_high,C_frozen,False,saturated_required_scales,B,T2p10,2.1,,,,,,,,,,
threshold_high,H_2x2,True,,B,T2p10,2.1,704.0,352.0,200.0,0.03569531473210358,0.13706782467017298,0.0036778606366231962,0.004975124378109453,27.562901358639817,True,True
threshold_low,C_activity,False,saturated_required_scales,B,T2p10,2.1,,,,,,,,,,
threshold_low,C_frozen,False,saturated_required_scales,B,T2p10,2.1,,,,,,,,,,
threshold_low,H_2x2,True,,B,T2p10,2.1,704.0,352.0,200.0,0.019183627283746688,0.14929652683446776,0.0036143628912943164,0.004975124378109453,35.998847781476414,True,True
average,C_activity,False,saturated_required_scales,A,T2p269,2.269,,,,,,,,,,
average,C_frozen,False,saturated_required_scales,A,T2p269,2.269,,,,,,,,,,
average,H_2x2,True,,A,T2p269,2.269,704.0,352.0,200.0,0.057844880326433416,0.07882901040171576,0.00490195548696142,0.004975124378109453,4.280767161410884,True,True
majority,C_activity,False,saturated_required_scales,A,T2p269,2.269,,,,,,,,,,
majority,C_frozen,False,saturated_required_scales,A,T2p269,2.269,,,,,,,,,,
majority,H_2x2,True,,A,T2p269,2.269,704.0,352.0,200.0,0.057844880326433416,0.07882901040171576,0.00490195548696142,0.004975124378109453,4.280767161410884,True,True
threshold_high,C_activity,False,saturated_required_scales,A,T2p269,2.269,,,,,,,,,,
threshold_high,C_frozen,False,saturated_required_scales,A,T2p269,2.269,,,,,,,,,,
threshold_high,H_2x2,True,,A,T2p269,2.269,704.0,352.0,200.0,0.032284581238419555,0.11684488482465713,0.005191427413670307,0.004975124378109453,16.288449562748283,True,True
threshold_low,C_activity,False,saturated_required_scales,A,T2p269,2.269,,,,,,,,,,
threshold_low,C_frozen,False,saturated_required_scales,A,T2p269,2.269,,,,,,,,,,
threshold_low,H_2x2,True,,A,T2p269,2.269,704.0,352.0,200.0,0.02974409562877465,0.1007346841370413,0.005422435142448031,0.004975124378109453,13.09201247102736,True,True
average,C_activity,False,saturated_required_scales,B,T2p269,2.269,,,,,,,,,,
average,C_frozen,False,saturated_required_scales,B,T2p269,2.269,,,,,,,,,,
average,H_2x2,True,,B,T2p269,2.269,704.0,352.0,200.0,0.08736951881231836,0.030622110566422087,0.003095083736431421,1.0,-18.334692395535985,False,True
majority,C_activity,False,saturated_required_scales,B,T2p269,2.269,,,,,,,,,,
majority,C_frozen,False,saturated_required_scales,B,T2p269,2.269,,,,,,,,,,
majority,H_2x2,True,,B,T2p269,2.269,704.0,352.0,200.0,0.08736951881231836,0.030622110566422087,0.003095083736431421,1.0,-18.334692395535985,False,True
threshold_high,C_activity,False,saturated_required_scales,B,T2p269,2.269,,,,,,,,,,
threshold_high,C_frozen,False,saturated_required_scales,B,T2p269,2.269,,,,,,,,,,
threshold_high,H_2x2,True,,B,T2p269,2.269,704.0,352.0,200.0,0.03629422279449529,0.09714803990563492,0.0044035340788068774,0.004975124378109453,13.81931331110029,True,True
threshold_low,C_activity,False,saturated_required_scales,B,T2p269,2.269,,,,,,,,,,
threshold_low,C_frozen,False,saturated_required_scales,B,T2p269,2.269,,,,,,,,,,
threshold_low,H_2x2,True,,B,T2p269,2.269,704.0,352.0,200.0,0.04952287984182481,0.05093005915316292,0.003840515363621397,0.32338308457711445,0.3664037708760045,False,True
