block,temp_tag,temperature,tau,required124_testable,required124_pass_under_tau,required124_pass_rate_under_tau,required124_rmse_median
A,T2p10,2.1,0.02,4,1,0.25,0.021754046432202842
A,T2p10,2.1,0.05,4,4,1.0,0.021754046432202842
A,T2p10,2.1,0.08,4,4,1.0,0.021754046432202842
B,T2p10,2.1,0.02,4,3,0.75,0.019823123816552875
B,T2p10,2.1,0.05,4,4,1.0,0.019823123816552875
B,T2p10,2.1,0.08,4,4,1.0,0.019823123816552875
A,T2p269,2.269,0.02,4,0,0.0,0.04506473078242648
A,T2p269,2.269,0.05,4,2,0.5,0.04506473078242648
A,T2p269,2.269,0.08,4,4,1.0,0.04506473078242648
B,T2p269,2.269,0.02,4,0,0.0,0.06844619932707158
B,T2p269,2.269,0.05,4,2,0.5,0.06844619932707158
B,T2p269,2.269,0.08,4,2,0.5,0.06844619932707158
