scheme,estimator,b_from,b_to,n_train,n_test,isotonic_rmse_test,isotonic_mae_test,isotonic_spearman_test,poly_degree_selected,poly_rmse_test,poly_mae_test,poly_spearman_test,monotonicity_violations_poly,saturated_from,saturated_to
average,C_activity,1,2,704,352,0.15379213281379292,0.11197412865612068,,2,0.13206306241960142,0.10305256036936469,,0,True,False
average,C_activity,2,4,704,352,0.11705146430344403,0.0934612358991966,0.85366063001791,3,0.12146763413280928,0.10140162422248053,0.8096586517229587,0,False,False
average,C_activity,4,8,704,352,0.02384255676648227,0.018145493445141277,0.9780810709475546,3,0.02991174769099519,0.02341600017972152,0.9781627441846036,0,False,False
average,C_frozen,1,2,704,352,0.15379213281379292,0.11197412865612072,,2,0.1320630624195626,0.10305256036931552,,0,True,False
average,C_frozen,2,4,704,352,0.11705146430344406,0.09346123589919664,0.85366063001791,3,0.121467634132718,0.10140162422245239,0.8096586517229587,0,False,False
average,C_frozen,4,8,704,352,0.02384255676648227,0.01814549344514128,0.9780810709475546,3,0.029911747690991496,0.023416000179728044,0.9781627441846036,0,False,False
average,H_2x2,1,2,704,352,0.06684061701523969,0.057815222400992815,0.9460610094103666,2,0.0652139464040546,0.0576997964789772,0.9531716709478746,0,False,False
average,H_2x2,2,4,704,352,0.027958266448915303,0.021809722807922635,0.8885257957961651,3,0.029154863867977682,0.02337951949534312,0.8908811125671947,0,False,False
average,H_2x2,4,8,704,352,0.03240943406656432,0.024232155096143473,0.8405216332507601,3,0.03341811618059143,0.025041302894981066,0.835658525492128,15,False,False
majority,C_activity,1,2,704,352,0.15379213281379292,0.11197412865612068,,2,0.13206306241960142,0.10305256036936469,,0,True,False
majority,C_activity,2,4,704,352,0.11705146430344403,0.0934612358991966,0.85366063001791,3,0.12146763413280928,0.10140162422248053,0.8096586517229587,0,False,False
majority,C_activity,4,8,704,352,0.02384255676648227,0.018145493445141277,0.9780810709475546,3,0.02991174769099519,0.02341600017972152,0.9781627441846036,0,False,False
majority,C_frozen,1,2,704,352,0.15379213281379292,0.11197412865612072,,2,0.1320630624195626,0.10305256036931552,,0,True,False
majority,C_frozen,2,4,704,352,0.11705146430344406,0.09346123589919664,0.85366063001791,3,0.121467634132718,0.10140162422245239,0.8096586517229587,0,False,False
majority,C_frozen,4,8,704,352,0.02384255676648227,0.01814549344514128,0.9780810709475546,3,0.029911747690991496,0.023416000179728044,0.9781627441846036,0,False,False
