n,near0_ratio,near1_ratio,saturation_ratio,saturated,eps,ratio_threshold,scheme,estimator,b
1056,0.0,1.0,1.0,True,0.1,0.9,average,C_activity,1
1056,0.0,1.0,1.0,True,0.1,0.9,average,C_activity,2
1056,0.0,1.0,1.0,True,0.1,0.9,average,C_activity,4
1056,0.0,0.6638257575757576,0.6638257575757576,False,0.1,0.9,average,C_activity,8
1056,1.0,0.0,1.0,True,0.1,0.9,average,C_frozen,1
1056,1.0,0.0,1.0,True,0.1,0.9,average,C_frozen,2
1056,1.0,0.0,1.0,True,0.1,0.9,average,C_frozen,4
1056,0.6638257575757576,0.0,0.6638257575757576,False,0.1,0.9,average,C_frozen,8
1056,0.0,0.0,0.0,False,0.1,0.9,average,H_2x2,1
1056,0.0,0.0,0.0,False,0.1,0.9,average,H_2x2,2
1056,0.0,0.0,0.0,False,0.1,0.9,average,H_2x2,4
1056,0.005681818181818182,0.0,0.005681818181818182,False,0.1,0.9,average,H_2x2,8
1056,0.0,1.0,1.0,True,0.1,0.9,majority,C_activity,1
1056,0.0,1.0,1.0,True,0.1,0.9,majority,C_activity,2
1056,0.0,1.0,1.0,True,0.1,0.9,majority,C_activity,4
1056,0.0,0.6638257575757576,0.6638257575757576,False,0.1,0.9,majority,C_activity,8
1056,1.0,0.0,1.0,True,0.1,0.9,majority,C_frozen,1
1056,1.0,0.0,1.0,True,0.1,0.9,majority,C_frozen,2
1056,1.0,0.0,1.0,True,0.1,0.9,majority,C_frozen,4
1056,0.6638257575757576,0.0,0.6638257575757576,False,0.1,0.9,majority,C_frozen,8
1056,0.0,0.0,0.0,False,0.1,0.9,majority,H_2x2,1
1056,0.0,0.0,0.0,False,0.1,0.9,majority,H_2x2,2
1056,0.0,0.0,0.0,False,0.1,0.9,majority,H_2x2,4
1056,0.005681818181818182,0.0,0.005681818181818182,False,0.1,0.9,majority,H_2x2,8
1056,0.0,1.0,1.0,True,0.1,0.9,threshold_high,C_activity,1
1056,0.0,1.0,1.0,True,0.1,0.9,threshold_high,C_activity,2
1056,0.0,1.0,1.0,True,0.1,0.9,threshold_high,C_activity,4
1056,0.0,0.7244318181818182,0.7244318181818182,False,0.1,0.9,threshold_high,C_activity,8
1056,1.0,0.0,1.0,True,0.1,0.9,threshold_high,C_frozen,1
1056,1.0,0.0,1.0,True,0.1,0.9,threshold_high,C_frozen,2
1056,1.0,0.0,1.0,True,0.1,0.9,threshold_high,C_frozen,4
1056,0.7244318181818182,0.0,0.7244318181818182,False,0.1,0.9,threshold_high,C_frozen,8
1056,0.0,0.0,0.0,False,0.1,0.9,threshold_high,H_2x2,1
1056,0.0,0.0,0.0,False,0.1,0.9,threshold_high,H_2x2,2
1056,0.0,0.0,0.0,False,0.1,0.9,threshold_high,H_2x2,4
1056,0.016098484848484848,0.0,0.016098484848484848,False,0.1,0.9,threshold_high,H_2x2,8
1056,0.0,1.0,1.0,True,0.1,0.9,threshold_low,C_activity,1
1056,0.0,1.0,1.0,True,0.1,0.9,threshold_low,C_activity,2
1056,0.0,0.9895833333333334,0.9895833333333334,True,0.1,0.9,threshold_low,C_activity,4
1056,0.0,0.6723484848484849,0.6723484848484849,False,0.1,0.9,threshold_low,C_activity,8
1056,1.0,0.0,1.0,True,0.1,0.9,threshold_low,C_frozen,1
1056,1.0,0.0,1.0,True,0.1,0.9,threshold_low,C_frozen,2
1056,0.9895833333333334,0.0,0.9895833333333334,True,0.1,0.9,threshold_low,C_frozen,4
1056,0.6723484848484849,0.0,0.6723484848484849,False,0.1,0.9,threshold_low,C_frozen,8
1056,0.0,0.0,0.0,False,0.1,0.9,threshold_low,H_2x2,1
1056,0.0,0.0,0.0,False,0.1,0.9,threshold_low,H_2x2,2
1056,0.0,0.0,0.0,False,0.1,0.9,threshold_low,H_2x2,4
1056,0.021780303030303032,0.0,0.021780303030303032,False,0.1,0.9,threshold_low,H_2x2,8
