scheme,estimator,b_from,b_to,n_train,n_test,isotonic_rmse_test,isotonic_mae_test,isotonic_spearman_test,poly_degree_selected,poly_rmse_test,poly_mae_test,poly_spearman_test,monotonicity_violations_poly,saturated_from,saturated_to
average,C_activity,1,2,704,352,0.09454220920797538,0.07135695714503348,,3,0.0975495632332508,0.07690408935417539,,58,True,False
average,C_activity,2,4,704,352,0.07508630872418356,0.05915931351744442,0.8622794457976132,3,0.07963204477613342,0.06556450435126063,0.7977208042621545,0,False,False
average,C_activity,4,8,704,352,0.028292809527658523,0.019230663373937366,0.941425433570947,3,0.03651270785517394,0.024326920043033082,0.9421523232170324,0,False,False
average,C_frozen,1,2,704,352,0.09454220920797538,0.07135695714503347,,3,0.09754956322440601,0.07690408934805916,,58,True,False
average,C_frozen,2,4,704,352,0.07508630872418354,0.05915931351744439,0.8622794457976132,3,0.07963204477619008,0.06556450435126783,0.7977208042621545,0,False,False
average,C_frozen,4,8,704,352,0.028292809527658516,0.019230663373937366,0.941425433570947,3,0.03651270785517316,0.02432692004303286,0.9421523232170324,0,False,False
average,H_2x2,1,2,704,352,0.057833955729978355,0.05100528703653384,0.935813416102449,2,0.05711500538326396,0.05105688630422023,0.940744886212308,0,False,False
average,H_2x2,2,4,704,352,0.02791070436546249,0.02171122396796834,0.8424203927635828,3,0.02702582653737545,0.021312611340163334,0.8501275435290705,0,False,False
average,H_2x2,4,8,704,352,0.033179107673686724,0.025013883184616403,0.7719484443044514,3,0.03247622822543345,0.024650703715637313,0.7710463212177256,12,False,False
majority,C_activity,1,2,704,352,0.09454220920797538,0.07135695714503348,,3,0.0975495632332508,0.07690408935417539,,58,True,False
majority,C_activity,2,4,704,352,0.07508630872418356,0.05915931351744442,0.8622794457976132,3,0.07963204477613342,0.06556450435126063,0.7977208042621545,0,False,False
majority,C_activity,4,8,704,352,0.028292809527658523,0.019230663373937366,0.941425433570947,3,0.03651270785517394,0.024326920043033082,0.9421523232170324,0,False,False
majority,C_frozen,1,2,704,352,0.09454220920797538,0.07135695714503347,,3,0.09754956322440601,0.07690408934805916,,58,True,False
majority,C_frozen,2,4,704,352,0.07508630872418354,0.05915931351744439,0.8622794457976132,3,0.07963204477619008,0.06556450435126783,0.7977208042621545,0,False,False
majority,C_frozen,4,8,704,352,0.028292809527658516,0.019230663373937366,0.941425433570947,3,0.03651270785517316,0.02432692004303286,0.9421523232170324,0,False,False
majority,H_2x2,1,2,704,352,0.057833955729978355,0.05100528703653384,0.935813416102449,2,0.05711500538326396,0.05105688630422023,0.940744886212308,0,False,False
majority,H_2x2,2,4,704,352,0.02791070436546249,0.02171122396796834,0.8424203927635828,3,0.02702582653737545,0.021312611340163334,0.8501275435290705,0,False,False
majority,H_2x2,4,8,704,352,0.033179107673686724,0.025013883184616403,0.7719484443044514,3,0.03247622822543345,0.024650703715637313,0.7710463212177256,12,False,False
threshold_high,C_activity,1,2,704,352,0.10446737452733032,0.08488526797044225,,3,0.10039932875013666,0.07992543339659103,,118,True,False
threshold_high,C_activity,2,4,704,352,0.0260499084382806,0.018261333108079744,0.9616054032947388,3,0.04800025107378797,0.038400575976573176,0.9618466964765381,0,False,False
threshold_high,C_activity,4,8,704,352,0.04843640260500135,0.02769122189290161,0.9730989042511001,2,0.04876443125327597,0.03258019769044243,0.9756204081711564,0,False,False
threshold_high,C_frozen,1,2,704,352,0.10446737452733032,0.08488526797044225,,3,0.10039932873781923,0.07992543338849684,,118,True,False
threshold_high,C_frozen,2,4,704,352,0.026049908438280592,0.018261333108079744,0.9616054032947388,3,0.048000251073785985,0.038400575976562094,0.9618466964765381,0,False,False
threshold_high,C_frozen,4,8,704,352,0.048436402605001344,0.027691221892901605,0.9730989042511001,2,0.04876443125327566,0.03258019769044219,0.9756204081711564,0,False,False
