n,near0_ratio,near1_ratio,saturation_ratio,saturated,eps,ratio_threshold,scheme,estimator,b
1056,0.0,1.0,1.0,True,0.1,0.9,average,C_activity,1
1056,0.0,1.0,1.0,True,0.1,0.9,average,C_activity,2
1056,0.0,1.0,1.0,True,0.1,0.9,average,C_activity,4
1056,0.0,0.5587121212121212,0.5587121212121212,False,0.1,0.9,average,C_activity,8
1056,1.0,0.0,1.0,True,0.1,0.9,average,C_frozen,1
1056,1.0,0.0,1.0,True,0.1,0.9,average,C_frozen,2
1056,1.0,0.0,1.0,True,0.1,0.9,average,C_frozen,4
1056,0.5587121212121212,0.0,0.5587121212121212,False,0.1,0.9,average,C_frozen,8
1056,0.0,0.0,0.0,False,0.1,0.9,average,H_2x2,1
1056,0.0,0.0,0.0,False,0.1,0.9,average,H_2x2,2
1056,0.0,0.0,0.0,False,0.1,0.9,average,H_2x2,4
1056,0.014204545454545454,0.0,0.014204545454545454,False,0.1,0.9,average,H_2x2,8
1056,0.0,1.0,1.0,True,0.1,0.9,majority,C_activity,1
1056,0.0,1.0,1.0,True,0.1,0.9,majority,C_activity,2
1056,0.0,1.0,1.0,True,0.1,0.9,majority,C_activity,4
1056,0.0,0.5587121212121212,0.5587121212121212,False,0.1,0.9,majority,C_activity,8
1056,1.0,0.0,1.0,True,0.1,0.9,majority,C_frozen,1
1056,1.0,0.0,1.0,True,0.1,0.9,majority,C_frozen,2
1056,1.0,0.0,1.0,True,0.1,0.9,majority,C_frozen,4
1056,0.5587121212121212,0.0,0.5587121212121212,False,0.1,0.9,majority,C_frozen,8
1056,0.0,0.0,0.0,False,0.1,0.9,majority,H_2x2,1
1056,0.0,0.0,0.0,False,0.1,0.9,majority,H_2x2,2
1056,0.0,0.0,0.0,False,0.1,0.9,majority,H_2x2,4
1056,0.014204545454545454,0.0,0.014204545454545454,False,0.1,0.9,majority,H_2x2,8
1056,0.0,1.0,1.0,True,0.1,0.9,threshold_high,C_activity,1
1056,0.0,1.0,1.0,True,0.1,0.9,threshold_high,C_activity,2
1056,0.0,0.9668560606060606,0.9668560606060606,True,0.1,0.9,threshold_high,C_activity,4
1056,0.0,0.65625,0.65625,False,0.1,0.9,threshold_high,C_activity,8
1056,1.0,0.0,1.0,True,0.1,0.9,threshold_high,C_frozen,1
1056,1.0,0.0,1.0,True,0.1,0.9,threshold_high,C_frozen,2
1056,0.9668560606060606,0.0,0.9668560606060606,True,0.1,0.9,threshold_high,C_frozen,4
1056,0.65625,0.0,0.65625,False,0.1,0.9,threshold_high,C_frozen,8
1056,0.0,0.0,0.0,False,0.1,0.9,threshold_high,H_2x2,1
1056,0.0,0.0,0.0,False,0.1,0.9,threshold_high,H_2x2,2
1056,0.0,0.0,0.0,False,0.1,0.9,threshold_high,H_2x2,4
1056,0.03787878787878788,0.0,0.03787878787878788,False,0.1,0.9,threshold_high,H_2x2,8
1056,0.0,1.0,1.0,True,0.1,0.9,threshold_low,C_activity,1
1056,0.0,1.0,1.0,True,0.1,0.9,threshold_low,C_activity,2
1056,0.0,1.0,1.0,True,0.1,0.9,threshold_low,C_activity,4
1056,0.0,0.6505681818181818,0.6505681818181818,False,0.1,0.9,threshold_low,C_activity,8
1056,1.0,0.0,1.0,True,0.1,0.9,threshold_low,C_frozen,1
1056,1.0,0.0,1.0,True,0.1,0.9,threshold_low,C_frozen,2
1056,1.0,0.0,1.0,True,0.1,0.9,threshold_low,C_frozen,4
1056,0.6505681818181818,0.0,0.6505681818181818,False,0.1,0.9,threshold_low,C_frozen,8
1056,0.0,0.0,0.0,False,0.1,0.9,threshold_low,H_2x2,1
1056,0.0,0.0,0.0,False,0.1,0.9,threshold_low,H_2x2,2
1056,0.0,0.0,0.0,False,0.1,0.9,threshold_low,H_2x2,4
1056,0.027462121212121212,0.0,0.027462121212121212,False,0.1,0.9,threshold_low,H_2x2,8
