scheme,estimator,b_from,b_to,n_train,n_test,isotonic_rmse_test,isotonic_mae_test,isotonic_spearman_test,poly_degree_selected,poly_rmse_test,poly_mae_test,poly_spearman_test,monotonicity_violations_poly,saturated_from,saturated_to
average,C_activity,1,2,212,106,0.2688364550802349,0.22905342533903295,0.780268760328038,2,0.3067898652036834,0.2613868009711044,0.41029182568656186,60,False,False
average,C_activity,2,4,212,106,0.16429912946453878,0.13977741745283015,0.7805217599095668,2,2.42808529786124,2.067507169635973,-0.9565760454935233,53,False,False
average,C_activity,4,8,212,106,0.011913669814515276,0.007296580188679245,0.7820611089891853,3,0.09831046638005693,0.0834586922521235,0.8473554611641849,0,False,False
average,C_frozen,1,2,212,106,0.2688364550802349,0.22905342533903295,0.780268760328038,2,0.3067898652037054,0.2613868009711079,0.41029182568656186,60,False,False
average,C_frozen,2,4,212,106,0.16429912946453878,0.13977741745283015,0.7805217599095668,2,2.4280852978612555,2.067507169635981,-0.9565760454935233,53,False,False
average,C_frozen,4,8,212,106,0.011913669814515276,0.007296580188679245,0.7820611089891853,3,0.09831046638005769,0.08345869225212466,0.8473554611641849,0,False,False
average,H_2x2,1,2,212,106,0.16688915490978792,0.16585146007478072,0.833476539503747,2,0.1648470678433412,0.16396365711355007,0.8329143260195986,0,False,False
average,H_2x2,2,4,212,106,0.04584020213610752,0.034444167385585235,0.16745717102720153,2,0.2800826865150131,0.278602949429046,0.7638976388890246,0,False,False
average,H_2x2,4,8,212,106,0.02645025794898709,0.01831307846699719,0.4382547411876667,3,0.025296578957753887,0.020017252660386994,0.03983945486461065,40,False,False
majority,C_activity,1,2,212,106,0.2688364550802349,0.22905342533903295,0.780268760328038,2,0.3067898652036834,0.2613868009711044,0.41029182568656186,60,False,False
majority,C_activity,2,4,212,106,0.16429912946453878,0.13977741745283015,0.7805217599095668,2,2.42808529786124,2.067507169635973,-0.9565760454935233,53,False,False
majority,C_activity,4,8,212,106,0.011913669814515276,0.007296580188679245,0.7820611089891853,3,0.09831046638005693,0.0834586922521235,0.8473554611641849,0,False,False
majority,C_frozen,1,2,212,106,0.2688364550802349,0.22905342533903295,0.780268760328038,2,0.3067898652037054,0.2613868009711079,0.41029182568656186,60,False,False
majority,C_frozen,2,4,212,106,0.16429912946453878,0.13977741745283015,0.7805217599095668,2,2.4280852978612555,2.067507169635981,-0.9565760454935233,53,False,False
majority,C_frozen,4,8,212,106,0.011913669814515276,0.007296580188679245,0.7820611089891853,3,0.09831046638005769,0.08345869225212466,0.8473554611641849,0,False,False
majority,H_2x2,1,2,212,106,0.16688915490978792,0.16585146007478072,0.833476539503747,2,0.1648470678433412,0.16396365711355007,0.8329143260195986,0,False,False
majority,H_2x2,2,4,212,106,0.04584020213610752,0.034444167385585235,0.16745717102720153,2,0.2800826865150131,0.278602949429046,0.7638976388890246,0,False,False
majority,H_2x2,4,8,212,106,0.02645025794898709,0.01831307846699719,0.4382547411876667,3,0.025296578957753887,0.020017252660386994,0.03983945486461065,40,False,False
threshold_high,C_activity,1,2,212,106,0.321584209736001,0.27406547251630237,0.7864695865204276,2,0.3087873650668302,0.26288329381066095,0.7908214991521522,0,False,False
threshold_high,C_activity,2,4,212,106,0.11902678839075637,0.10128711244595125,0.8810118327108141,2,0.11752505460013563,0.1004622102737759,0.8866030569381198,0,False,False
threshold_high,C_activity,4,8,212,106,0.12337642473425171,0.10446206604191756,0.7970972998052486,3,0.08747523657375307,0.07357798499713174,0.7970972998052486,0,False,False
threshold_high,C_frozen,1,2,212,106,0.32158420973600094,0.2740654725163023,0.7864695865204276,2,0.3087873650668676,0.2628832938106725,0.7908214991521522,0,False,False
threshold_high,C_frozen,2,4,212,106,0.11902678839075637,0.10128711244595125,0.8810118327108141,2,0.11752505460013572,0.1004622102737751,0.8866030569381198,0,False,False
threshold_high,C_frozen,4,8,212,106,0.12337642473425173,0.1044620660419176,0.7970972998052486,3,0.08747523657375365,0.07357798499713239,0.7970972998052486,0,False,False
threshold_high,H_2x2,1,2,212,106,0.16562713246480665,0.16428689950033173,0.8874721123036375,2,0.16384280712706714,0.16266091935331337,0.8915484797339849,0,False,False
threshold_high,H_2x2,2,4,212,106,0.07089232905711271,0.06701064972335827,0.758538514672004,3,0.09533443388225889,0.09257569593113445,0.758538514672004,0,False,False
threshold_high,H_2x2,4,8,212,106,0.03608644091731024,0.029262651124886043,0.5624672494523851,3,0.03743204948916307,0.030565454652952323,0.5650429357942252,0,False,False
threshold_low,C_activity,1,2,212,106,0.2688364550802349,0.22905342533903295,0.780268760328038,2,0.3067898652036834,0.2613868009711044,0.41029182568656186,60,False,False
threshold_low,C_activity,2,4,212,106,0.26235333742416733,0.22345776827830188,0.7805378316850828,2,1.6684314424065614,1.420757155525113,-0.9227270468792952,53,False,False
threshold_low,C_activity,4,8,212,106,0.0708458463544689,0.05973614386792453,0.7893227953873487,2,0.7108530223859821,0.6052753821533438,0.8984149938275833,0,False,False
threshold_low,C_frozen,1,2,212,106,0.2688364550802349,0.22905342533903295,0.780268760328038,2,0.3067898652037054,0.2613868009711079,0.41029182568656186,60,False,False
threshold_low,C_frozen,2,4,212,106,0.2623533374241673,0.22345776827830183,0.7805378316850828,2,1.6684314424065692,1.420757155525118,-0.9227270468792952,53,False,False
threshold_low,C_frozen,4,8,212,106,0.0708458463544689,0.05973614386792453,0.7893227953873487,2,0.710853022385982,0.6052753821533425,0.8984149938275833,0,False,False
threshold_low,H_2x2,1,2,212,106,0.16688915490978792,0.16585146007478072,0.833476539503747,2,0.1648470678433412,0.16396365711355007,0.8329143260195986,0,False,False
