n,near0_ratio,near1_ratio,saturation_ratio,saturated,eps,ratio_threshold,scheme,estimator,b
3366,0.6212121212121212,0.06951871657754011,0.6907308377896613,False,0.1,0.9,average,C_activity,1
3366,0.6066547831253714,0.06951871657754011,0.6761734997029114,False,0.1,0.9,average,C_activity,2
3366,0.6628045157456922,0.06951871657754011,0.7323232323232323,False,0.1,0.9,average,C_activity,4
3366,0.7917409387997624,0.06951871657754011,0.8612596553773024,False,0.1,0.9,average,C_activity,8
3366,0.06951871657754011,0.6212121212121212,0.6907308377896613,False,0.1,0.9,average,C_frozen,1
3366,0.06951871657754011,0.6066547831253714,0.6761734997029114,False,0.1,0.9,average,C_frozen,2
3366,0.06951871657754011,0.6628045157456922,0.7323232323232323,False,0.1,0.9,average,C_frozen,4
3366,0.06951871657754011,0.7917409387997624,0.8612596553773024,False,0.1,0.9,average,C_frozen,8
3366,0.3612596553773024,0.0,0.3612596553773024,False,0.1,0.9,average,H_2x2,1
3366,0.36244800950683304,0.0,0.36244800950683304,False,0.1,0.9,average,H_2x2,2
3366,0.553475935828877,0.0,0.553475935828877,False,0.1,0.9,average,H_2x2,4
3366,0.8963161021984551,0.0,0.8963161021984551,False,0.1,0.9,average,H_2x2,8
3366,0.6212121212121212,0.06951871657754011,0.6907308377896613,False,0.1,0.9,majority,C_activity,1
3366,0.6066547831253714,0.06951871657754011,0.6761734997029114,False,0.1,0.9,majority,C_activity,2
3366,0.6628045157456922,0.06951871657754011,0.7323232323232323,False,0.1,0.9,majority,C_activity,4
3366,0.7917409387997624,0.06951871657754011,0.8612596553773024,False,0.1,0.9,majority,C_activity,8
3366,0.06951871657754011,0.6212121212121212,0.6907308377896613,False,0.1,0.9,majority,C_frozen,1
3366,0.06951871657754011,0.6066547831253714,0.6761734997029114,False,0.1,0.9,majority,C_frozen,2
3366,0.06951871657754011,0.6628045157456922,0.7323232323232323,False,0.1,0.9,majority,C_frozen,4
3366,0.06951871657754011,0.7917409387997624,0.8612596553773024,False,0.1,0.9,majority,C_frozen,8
3366,0.3612596553773024,0.0,0.3612596553773024,False,0.1,0.9,majority,H_2x2,1
3366,0.36244800950683304,0.0,0.36244800950683304,False,0.1,0.9,majority,H_2x2,2
3366,0.553475935828877,0.0,0.553475935828877,False,0.1,0.9,majority,H_2x2,4
3366,0.8963161021984551,0.0,0.8963161021984551,False,0.1,0.9,majority,H_2x2,8
3366,0.6212121212121212,0.06951871657754011,0.6907308377896613,False,0.1,0.9,threshold_high,C_activity,1
3366,0.654486036838978,0.06951871657754011,0.7240047534165182,False,0.1,0.9,threshold_high,C_activity,2
3366,0.8175876411170528,0.06951871657754011,0.887106357694593,False,0.1,0.9,threshold_high,C_activity,4
3366,0.93048128342246,0.06951871657754011,1.0,True,0.1,0.9,threshold_high,C_activity,8
3366,0.06951871657754011,0.6212121212121212,0.6907308377896613,False,0.1,0.9,threshold_high,C_frozen,1
3366,0.06951871657754011,0.654486036838978,0.7240047534165182,False,0.1,0.9,threshold_high,C_frozen,2
3366,0.06951871657754011,0.8175876411170528,0.887106357694593,False,0.1,0.9,threshold_high,C_frozen,4
3366,0.06951871657754011,0.93048128342246,1.0,True,0.1,0.9,threshold_high,C_frozen,8
3366,0.3612596553773024,0.0,0.3612596553773024,False,0.1,0.9,threshold_high,H_2x2,1
3366,0.7002376708259062,0.0,0.7002376708259062,False,0.1,0.9,threshold_high,H_2x2,2
3366,0.9970291146761735,0.0,0.9970291146761735,True,0.1,0.9,threshold_high,H_2x2,4
3366,1.0,0.0,1.0,True,0.1,0.9,threshold_high,H_2x2,8
3366,0.6212121212121212,0.06951871657754011,0.6907308377896613,False,0.1,0.9,threshold_low,C_activity,1
3366,0.6066547831253714,0.06951871657754011,0.6761734997029114,False,0.1,0.9,threshold_low,C_activity,2
3366,0.6369578134284016,0.06951871657754011,0.7064765300059417,False,0.1,0.9,threshold_low,C_activity,4
3366,0.6925133689839572,0.06951871657754011,0.7620320855614973,False,0.1,0.9,threshold_low,C_activity,8
3366,0.06951871657754011,0.6212121212121212,0.6907308377896613,False,0.1,0.9,threshold_low,C_frozen,1
3366,0.06951871657754011,0.6066547831253714,0.6761734997029114,False,0.1,0.9,threshold_low,C_frozen,2
3366,0.06951871657754011,0.6369578134284016,0.7064765300059417,False,0.1,0.9,threshold_low,C_frozen,4
3366,0.06951871657754011,0.6925133689839572,0.7620320855614973,False,0.1,0.9,threshold_low,C_frozen,8
3366,0.3612596553773024,0.0,0.3612596553773024,False,0.1,0.9,threshold_low,H_2x2,1
3366,0.36244800950683304,0.0,0.36244800950683304,False,0.1,0.9,threshold_low,H_2x2,2
3366,0.3312537136066548,0.0,0.3312537136066548,False,0.1,0.9,threshold_low,H_2x2,4
3366,0.6963755199049316,0.0,0.6963755199049316,False,0.1,0.9,threshold_low,H_2x2,8
