scheme,estimator,b_from,b_to,n_train,n_test,isotonic_rmse_test,isotonic_mae_test,isotonic_spearman_test,poly_degree_selected,poly_rmse_test,poly_mae_test,poly_spearman_test,monotonicity_violations_poly,saturated_from,saturated_to
average,C_activity,1,2,2244,1122,0.00787480861517312,0.0064929284082507555,0.994788888153737,2,0.007418237847065599,0.006442768298655714,0.9948934191090266,0,False,False
average,C_activity,2,4,2244,1122,0.007285753536163588,0.00537564838973653,0.98865647507489,2,0.007476393110402835,0.005922249333173856,0.9848060702546272,0,False,False
average,C_activity,4,8,2244,1122,0.012067848335749904,0.008654537810032012,0.9770540295141948,2,0.013721374208656031,0.010132981120487519,0.9767089492730802,0,False,False
average,C_frozen,1,2,2244,1122,0.007874808615173123,0.006492928408250763,0.994788888153737,2,0.0074182378470692215,0.006442768298659528,0.9948934191090266,0,False,False
average,C_frozen,2,4,2244,1122,0.007285753536163589,0.005375648389736535,0.98865647507489,2,0.007476393110407685,0.005922249333178633,0.9848060702546272,0,False,False
average,C_frozen,4,8,2244,1122,0.012067848335749904,0.008654537810032012,0.9770540295141948,2,0.013721374208659752,0.010132981120492084,0.9767089492730802,0,False,False
average,H_2x2,1,2,2244,1122,0.018600637298500276,0.01545095902067853,0.9744339307094865,3,0.01568733582771429,0.012271382957855565,0.9693090250772739,0,False,False
average,H_2x2,2,4,2244,1122,0.018450501060681034,0.01559234004966114,0.9209617158466641,2,0.020174586460374778,0.01685705674554558,0.9093327838112727,0,False,False
average,H_2x2,4,8,2244,1122,0.03142048096071306,0.024482841064692527,0.738626846357488,3,0.03532940591671032,0.027824025640092433,0.6790877567239774,15,False,False
majority,C_activity,1,2,2244,1122,0.00787480861517312,0.0064929284082507555,0.994788888153737,2,0.007418237847065599,0.006442768298655714,0.9948934191090266,0,False,False
majority,C_activity,2,4,2244,1122,0.007285753536163588,0.00537564838973653,0.98865647507489,2,0.007476393110402835,0.005922249333173856,0.9848060702546272,0,False,False
majority,C_activity,4,8,2244,1122,0.012067848335749904,0.008654537810032012,0.9770540295141948,2,0.013721374208656031,0.010132981120487519,0.9767089492730802,0,False,False
majority,C_frozen,1,2,2244,1122,0.007874808615173123,0.006492928408250763,0.994788888153737,2,0.0074182378470692215,0.006442768298659528,0.9948934191090266,0,False,False
majority,C_frozen,2,4,2244,1122,0.007285753536163589,0.005375648389736535,0.98865647507489,2,0.007476393110407685,0.005922249333178633,0.9848060702546272,0,False,False
majority,C_frozen,4,8,2244,1122,0.012067848335749904,0.008654537810032012,0.9770540295141948,2,0.013721374208659752,0.010132981120492084,0.9767089492730802,0,False,False
majority,H_2x2,1,2,2244,1122,0.018600637298500276,0.01545095902067853,0.9744339307094865,3,0.01568733582771429,0.012271382957855565,0.9693090250772739,0,False,False
majority,H_2x2,2,4,2244,1122,0.018450501060681034,0.01559234004966114,0.9209617158466641,2,0.020174586460374778,0.01685705674554558,0.9093327838112727,0,False,False
majority,H_2x2,4,8,2244,1122,0.03142048096071306,0.024482841064692527,0.738626846357488,3,0.03532940591671032,0.027824025640092433,0.6790877567239774,15,False,False
threshold_high,C_activity,1,2,2244,1122,0.0050818670740413185,0.003761392108404425,0.9953930902111346,2,0.007661962922040448,0.00496366673291014,0.9924743324804798,0,False,False
threshold_high,C_activity,2,4,2244,1122,0.00908690349030181,0.006590665393168076,0.9811528149527313,2,0.010049293260842309,0.00759891951486313,0.9826129027244476,0,False,False
threshold_high,C_activity,4,8,2244,1122,0.013123234080502772,0.008827804997519,,2,0.010885825336851451,0.007935646638296249,,0,False,True
threshold_high,C_frozen,1,2,2244,1122,0.005081867074041319,0.003761392108404431,0.9953930902111346,2,0.007661962922041341,0.004963666732911189,0.9924743324804798,0,False,False
threshold_high,C_frozen,2,4,2244,1122,0.009086903490301806,0.006590665393168075,0.9811528149527313,2,0.010049293260839117,0.007598919514861028,0.9826129027244476,0,False,False
threshold_high,C_frozen,4,8,2244,1122,0.01312323408050277,0.008827804997519006,,2,0.010885825336852168,0.007935646638297452,,0,False,True
threshold_high,H_2x2,1,2,2244,1122,0.013798412698119981,0.009266177936781425,0.9129104856140032,2,0.015963046902467026,0.010978981133070297,0.8776775435886509,0,False,False
threshold_high,H_2x2,2,4,2244,1122,0.019192501436936973,0.014747021091451946,,2,0.021840107449756178,0.018275666710931286,,158,False,True
threshold_high,H_2x2,4,8,2244,1122,0.012115537984360589,0.007116074946096141,,2,0.012111062029402502,0.007186213770574557,,4,True,True
threshold_low,C_activity,1,2,2244,1122,0.00787480861517312,0.0064929284082507555,0.994788888153737,2,0.007418237847065599,0.006442768298655714,0.9948934191090266,0,False,False
threshold_low,C_activity,2,4,2244,1122,0.0058668511938838935,0.004209910600577719,0.9967297295279168,2,0.005126732882176434,0.004033100513038353,0.9968087911079363,0,False,False
threshold_low,C_activity,4,8,2244,1122,0.009483062550874957,0.007563998397149128,0.983066513306409,2,0.009982660757603385,0.007902834709927824,0.9786065699654423,0,False,False
threshold_low,C_frozen,1,2,2244,1122,0.007874808615173123,0.006492928408250763,0.994788888153737,2,0.0074182378470692215,0.006442768298659528,0.9948934191090266,0,False,False
threshold_low,C_frozen,2,4,2244,1122,0.0058668511938839004,0.004209910600577719,0.9967297295279168,2,0.0051267328821801746,0.004033100513040833,0.9968087911079363,0,False,False
threshold_low,C_frozen,4,8,2244,1122,0.009483062550874957,0.0075639983971491345,0.983066513306409,2,0.009982660757603309,0.007902834709927744,0.9786065699654423,0,False,False
threshold_low,H_2x2,1,2,2244,1122,0.018600637298500276,0.01545095902067853,0.9744339307094865,3,0.01568733582771429,0.012271382957855565,0.9693090250772739,0,False,False
threshold_low,H_2x2,2,4,2244,1122,0.01926053825337199,0.014609365164259702,0.8683574898556525,2,0.020977957644152643,0.016213275475199407,0.8718673961491762,0,False,False
threshold_low,H_2x2,4,8,2244,1122,0.03901514143757768,0.03121527686494788,0.7775714626439554,2,0.042892141482275284,0.034702931057880256,0.7590984363298464,12,False,False
