policy,round,oracle_type,accession,allocation_policy,ranking_policy,ranking_base,candidate_pool_basis_used,alpha_used,K_used,selected_by,predicted_prob,uncertainty_norm,novelty,novelty_norm,composite_score,revealed_value,revealed_label
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000012,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.3700568618121634,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000014,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.2981026933174072,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000103,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,-0.1625566814579238,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000122,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.4028318592685205,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000162,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.6396317104483543,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000164,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.2598475297724519,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000187,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.4931710249808135,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000191,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.5318628988958178,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000195,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.3759798573631226,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000200,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,-0.0095717562754594,0
