item_id,length,f_hi_conf_frac,f_mean_conf,f_entropy,f_low_conf_frac,oracle_uncertainty_score
ACC00001,51,0.80,80.0,0.40,0.20,7.0
ACC00002,52,0.80,80.0,0.40,0.20,7.0
ACC00003,53,0.20,45.0,1.20,0.70,12.0
ACC00004,54,0.80,80.0,0.40,0.20,7.0
ACC00005,55,0.80,80.0,0.40,0.20,7.0
ACC00006,56,0.20,45.0,1.20,0.70,12.0
ACC00007,57,0.80,80.0,0.40,0.20,7.0
ACC00008,58,0.80,80.0,0.40,0.20,7.0
ACC00009,59,0.20,45.0,1.20,0.70,12.0
ACC00010,60,0.80,80.0,0.40,0.20,7.0
ACC00011,61,0.80,80.0,0.40,0.20,7.0
ACC00012,62,0.20,45.0,1.20,0.70,12.0
ACC00013,63,0.80,80.0,0.40,0.20,7.0
ACC00014,64,0.80,80.0,0.40,0.20,7.0
ACC00015,65,0.20,45.0,1.20,0.70,12.0
ACC00016,66,0.80,80.0,0.40,0.20,7.0
ACC00017,67,0.80,80.0,0.40,0.20,7.0
ACC00018,68,0.20,45.0,1.20,0.70,12.0
ACC00019,69,0.80,80.0,0.40,0.20,7.0
ACC00020,70,0.80,80.0,0.40,0.20,7.0
ACC00021,71,0.20,45.0,1.20,0.70,12.0
ACC00022,72,0.80,80.0,0.40,0.20,7.0
ACC00023,73,0.80,80.0,0.40,0.20,7.0
ACC00024,74,0.20,45.0,1.20,0.70,12.0
ACC00025,75,0.80,80.0,0.40,0.20,7.0
ACC00026,76,0.80,80.0,0.40,0.20,7.0
ACC00027,77,0.20,45.0,1.20,0.70,12.0
ACC00028,78,0.80,80.0,0.40,0.20,7.0
ACC00029,79,0.80,80.0,0.40,0.20,7.0
ACC00030,80,0.20,45.0,1.20,0.70,12.0
ACC00031,81,0.80,80.0,0.40,0.20,7.0
ACC00032,82,0.80,80.0,0.40,0.20,7.0
ACC00033,83,0.20,45.0,1.20,0.70,12.0
ACC00034,84,0.80,80.0,0.40,0.20,7.0
ACC00035,85,0.80,80.0,0.40,0.20,7.0
ACC00036,86,0.20,45.0,1.20,0.70,12.0
ACC00037,87,0.80,80.0,0.40,0.20,7.0
ACC00038,88,0.80,80.0,0.40,0.20,7.0
ACC00039,89,0.20,45.0,1.20,0.70,12.0
ACC00040,90,0.80,80.0,0.40,0.20,7.0
ACC00041,91,0.80,80.0,0.40,0.20,7.0
ACC00042,92,0.20,45.0,1.20,0.70,12.0
ACC00043,93,0.80,80.0,0.40,0.20,7.0
ACC00044,94,0.80,80.0,0.40,0.20,7.0
ACC00045,95,0.20,45.0,1.20,0.70,12.0
ACC00046,96,0.80,80.0,0.40,0.20,7.0
ACC00047,97,0.80,80.0,0.40,0.20,7.0
ACC00048,98,0.20,45.0,1.20,0.70,12.0
ACC00049,99,0.80,80.0,0.40,0.20,7.0
ACC00050,100,0.80,80.0,0.40,0.20,7.0
ACC00051,101,0.20,45.0,1.20,0.70,12.0
ACC00052,102,0.80,80.0,0.40,0.20,7.0
ACC00053,103,0.80,80.0,0.40,0.20,7.0
ACC00054,104,0.20,45.0,1.20,0.70,12.0
ACC00055,105,0.80,80.0,0.40,0.20,7.0
ACC00056,106,0.80,80.0,0.40,0.20,7.0
ACC00057,107,0.20,45.0,1.20,0.70,12.0
ACC00058,108,0.80,80.0,0.40,0.20,7.0
ACC00059,109,0.80,80.0,0.40,0.20,7.0
ACC00060,110,0.20,45.0,1.20,0.70,12.0
ACC00061,111,0.80,80.0,0.40,0.20,7.0
ACC00062,112,0.80,80.0,0.40,0.20,7.0
ACC00063,113,0.20,45.0,1.20,0.70,12.0
ACC00064,114,0.80,80.0,0.40,0.20,7.0
ACC00065,115,0.80,80.0,0.40,0.20,7.0
ACC00066,116,0.20,45.0,1.20,0.70,12.0
ACC00067,117,0.80,80.0,0.40,0.20,7.0
ACC00068,118,0.80,80.0,0.40,0.20,7.0
ACC00069,119,0.20,45.0,1.20,0.70,12.0
ACC00070,120,0.80,80.0,0.40,0.20,7.0
ACC00071,121,0.80,80.0,0.40,0.20,7.0
ACC00072,122,0.20,45.0,1.20,0.70,12.0
ACC00073,123,0.80,80.0,0.40,0.20,7.0
ACC00074,124,0.80,80.0,0.40,0.20,7.0
ACC00075,125,0.20,45.0,1.20,0.70,12.0
ACC00076,126,0.80,80.0,0.40,0.20,7.0
ACC00077,127,0.80,80.0,0.40,0.20,7.0
